state,mhn
Alabama,12.00652529
Alaska,9.497365648
Arkansas,11.34642179
Arizona,13.28375
California,10.24297646
Colorado,9.267588451
Connecticut,9.967540203
Delaware,11.96448087
Florida,12.90444843
Georgia,11.70086036
Hawaii,9.850083752
Iowa,10.26826417
Idaho,9.522040302
Illinois,10.99192618
Indiana,10.42014614
Kansas,10.44374626
Kentucky,12.78430161
Louisiana,11.46815835
Maine,10.49984917
Maryland,10.30440229
Massachusetts,10.44970207
Michigan,10.99340015
Minnesota,9.306723543
Missouri,13.01991758
Mississippi,12.31914894
Montana,10.99146341
North Carolina,9.868844697
North Dakota,11.62845583
Nebraska,11.30042463
New Hampshire,11.78273111
New Jersey,11.80205516
New Mexico,10.8933736
Nevada,12.15357503
New York,8.628461043
Ohio,11.79242713
Oklahoma,12.72346641
Oregon,10.03617945
Pennsylvania,10.52274574
Rhode Island,11.44313725
South Carolina,12.25049143
South Dakota,9.95
Tennessee,12.96484179
Texas,11.12336278
Utah,9.364687741
Virginia,10.89350771
Vermont,10.85911179
Washington,9.724610592
Wisconsin,13.97290432
West Virginia,9.964943553
Wyoming,10.86081193