state,mhn,ss
Alabama,12.00652529,AL
Alaska,9.497365648,AK
Arkansas,11.34642179,AR
Arizona,13.28375,AZ
California,10.24297646,CA
Colorado,9.267588451,CO
Connecticut,9.967540203,CT
Delaware,11.96448087,DE
Florida,12.90444843,FL
Georgia,11.70086036,GA
Hawaii,9.850083752,HI
Iowa,10.26826417,IA
Idaho,9.522040302,ID
Illinois,10.99192618,IL
Indiana,10.42014614,IN
Kansas,10.44374626,KS
Kentucky,12.78430161,KY
Louisiana,11.46815835,LA
Maine,10.49984917,ME
Maryland,10.30440229,MD
Massachusetts,10.44970207,MA
Michigan,10.99340015,MI
Minnesota,9.306723543,MN
Missouri,13.01991758,MO
Mississippi,12.31914894,MS
Montana,10.99146341,MT
North Carolina,9.868844697,NC
North Dakota,11.62845583,ND
Nebraska,11.30042463,NE
New Hampshire,11.78273111,NH
New Jersey,11.80205516,NJ
New Mexico,10.8933736,NM
Nevada,12.15357503,NV
New York,8.628461043,NY
Ohio,11.79242713,OH
Oklahoma,12.72346641,OK
Oregon,10.03617945,OR
Pennsylvania,10.52274574,PA
Rhode Island,11.44313725,RI
South Carolina,12.25049143,SC
South Dakota,9.95,SD
Tennessee,12.96484179,TN
Texas,11.12336278,TX
Utah,9.364687741,UT
Virginia,10.89350771,VA
Vermont,10.85911179,VT
Washington,9.724610592,WA
Wisconsin,13.97290432,WI
West Virginia,9.964943553,WV
Wyoming,10.86081193,WY
,8.628461043,
,13.97290432,